"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Increment";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9932134674516802";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9978437668717078";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.99921571809122";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.26781035370003115";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.3019985844249123";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.30564769451492857";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.7643837605127155";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"1.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915174511576293";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9932134674516802";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9978437668717078";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.99921571809122";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.24955151424202052";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.28421407213639255";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.2872517566526265";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.7499901550262822";"1.0";"Full";"20";"10";"RBFKernel";"1.0";"3.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.4173484504913077";"1.0";"Full";"20";"10";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.46804232804232804";"1.0";"Full";"20";"10";"RBFKernel";"3.0";"-9.0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.467530484360944";"1.0";"Full";"20";"10";"RBFKernel";"3.0";"-9.0"
